c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28;c29;c30;c31;c32;c33;c34;c35;c36;c37;c38;c39;c40;c41;c42;c43;c44;c45;c46;c47;c48;c49
-6055;-7496;-8489;-8982;-8934;-8365;-7290;-5786;-3941;-1853;333;2510;4532;6288;7664;8596;9004;8888;8239;7097;5544;3648;1547;-653;-2811;-4803;-6509;-7831;-8683;-9024;-8824;-8104;-6900;-5287;-3359;-1233;967;3111;5068;6724;7984;8763;9029;8754;7956;6697;5022;3069;914;-1278
-3408;-5326;-6932;-8126;-8834;-9023;-8668;-7807;-6473;-4764;-2761;-606;1597;3694;5581;7129;8260;8893;9004;8578;7640;6252;4489;2461;287;-1904;-3984;-5823;-7322;-8379;-8946;-8973;-8475;-7466;-6019;-4213;-2154;30;2212;4266;6062;7502;8493;8981;8935;8358;7287;5778;3929;1847
-347;-2518;-4541;-6294;-7674;-8593;-9010;-8881;-8238;-7090;-5535;-3641;-1536;662;2822;4810;6518;7834;8686;9026;8819;8103;6892;5279;3352;1220;-975;-3122;-5075;-6732;-7988;-8766;-9029;-8750;-7955;-6685;-5019;-3054;-909;1294;3412;5337;6937;8131;8837;9022;8666;7801;6467;4754
2754;593;-1603;-3708;-5585;-7138;-8262;-8898;-9000;-8578;-7630;-6250;-4475;-2456;-273;1912;3994;5831;7327;8385;8943;8976;8467;7464;6009;4207;2140;-33;-2232;-4262;-6085;-7486;-8526;-8936;-9024;-7610;-4207;-654;2958;6300;9216;11496;12999;13659;13405;12317;10423;7914;4918;1678
-1613;-4718;-7447;-9607;-11087;-11774;-11666;-10756;-9157;-6957;-4357;-1513;1351;4042;6379;8199;9388;9879;9643;8724;7193;5176;2834;331;-2132;-4390;-6266;-7644;-8416;-8546;-8021;-6898;-5263;-3243;-995;1310;3511;5423;6931;7899;8280;8027;7180;5780;3954;1817;-462;-2723;-4799;-6537
-7818;-8536;-8657;-8149;-7068;-5478;-3490;-1255;1084;3357;5401;7087;8289;8926;8968;8395;7273;5655;3670;1434;-896;-3163;-5226;-6934;-8183;-8887;-8997;-8508;-7453;-5900;-3953;-1747;584;2866;4965;6728;8046;8824;9019;8609;7624;6137;4233;2054;-266;-2568;-4698;-6513;-7898;-8755
-9024;-8702;-7786;-6365;-4510;-2359;-48;2262;4426;6292;7739;8673;9025;8776;7945;6582;4782;2661;364;-1957;-4147;-6063;-7572;-8580;-9012;-8844;-8093;-6789;-5050;-2958;-681;1649;3866;5824;7398;8473;8991;8901;8227;6994;5308;3254;995;-1338;-3579;-5579;-7213;-8359;-8956;-8949
-8350;-7191;-5556;-3548;-1307;1025;3288;5328;7019;8236;8909;8985;8466;7375;5804;3834;1619;-712;-2991;-5072;-6815;-8103;-8852;-9011;-8566;-7559;-6036;-4123;-1922;393;2694;4806;6604;7960;8785;9023;8664;7723;6268;4401;2229;-78;-2390;-4538;-6384;-7807;-8706;-9027;-8746;-7881
-6494;-4669;-2539;-233;2083;4264;6158;7641;8621;9015;8823;8027;6710;4936;2838;550;-1776;-3983;-5923;-7471;-8519;-9000;-8881;-8169;-6915;-5197;-3138;-861;1464;3699;5682;7288;8410;8970;8931;8300;7112;5453;3429;1177;-1155;-3405;-5436;-7096;-8291;-8929;-8972;-8417;-7304;-5699
-3720;-1488;840;3113;5179;6899;8161;8875;9003;8525;7485;5940;4004;1799;-526;-2815;-4919;-6690;-8022;-8811;-9023;-8622;-7658;-6172;-4287;-2105;211;2514;4650;6477;7870;8740;9027;8713;7817;6404;4556;2413;104;-2211;-4375;-6255;-7709;-8657;-9023;-8790;-7970;-6622;-4825;-2717
-417;1902;4099;6022;7540;8564;9008;8857;8113;6832;5088;3018;730;-1591;-3815;-5785;-7363;-8455;-8986;-8909;-8250;-7030;-5349;-3309;-1048;1283;3528;5537;7178;8341;8945;8960;8367;7229;5597;3600;1362;-974;-3230;-5289;-6980;-8215;-8899;-8992;-8482;-7410;-5845;-3883;-1675;659
2938;5024;6781;8077;8843;9012;8586;7586;6080;4169;1979;-341;-2639;-4760;-6567;-7934;-8771;-9026;-8677;-7752;-6310;-4445;-2286;25;2337;4489;6348;7776;8693;9026;8760;7908;6533;4713;2595;286;-2029;-4213;-6120;-7611;-8603;-9016;-8829;-8057;-6744;-4984;-2889;-606;1723;3931
5883;7440;8500;8995;8891;8193;6950;5244;3186;919;-1411;-3646;-5640;-7257;-8388;-8965;-8937;-8323;-7146;-5498;-3479;-1231;1098;3357;5388;7067;8265;8923;8975;8441;7332;5746;3766;1546;-788;-3060;-5135;-6861;-8139;-8862;-9011;-8540;-7518;-5980;-4054;-1853;471;2762;4871;6655
7995;8802;9021;8643;7682;6218;4331;2161;-156;-2461;-4603;-6438;-7842;-8728;-9026;-8728;-7846;-6438;-4610;-2461;-162;2157;4330;6210;7685;8639;9021;8805;7993;6660;4872;2769;473;-1847;-4052;-5979;-7512;-8544;-9003;-8870;-8136;-6867;-5137;-3064;-790;1540;3765;5740;7334;8435
8980;8918;8272;7064;5395;3358;1104;-1228;-3476;-5495;-7142;-8321;-8938;-8964;-8392;-7256;-5645;-3647;-1418;917;3181;5242;6947;8191;8891;8993;8505;7439;5886;3936;1726;-601;-2886;-4981;-6740;-8057;-8826;-9021;-8597;-7621;-6115;-4223;-2029;283;2586;4716;6526;7908;8758;9027
8693;7781;6346;4496;2339;29;-2281;-4445;-6304;-7752;-8675;-9027;-8773;-7934;-6570;-4762;-2644;-345;1976;4166;6076;7585;8582;9016;8839;8082;6780;5029;2943;659;-1666;-3885;-5838;-7409;-8481;-8991;-8900;-8216;-6985;-5289;-3237;-976;1359;3595;5595;7226;8365;8960;8945;8344
7178;5542;3530;1288;-1046;-3303;-5348;-7027;-8248;-8910;-8983;-8460;-7364;-5789;-3817;-1597;729;3012;5086;6829;8110;8858;9007;8566;7539;6030;4097;1911;-419;-2708;-4827;-6615;-7970;-8789;-9023;-8658;-7713;-6256;-4380;-2214;101;2408;4553;6402;7813;8714;9025;8742;7872;6480
4652;2518;217;-2107;-4274;-6178;-7649;-8626;-9020;-8814;-8022;-6695;-4920;-2821;-527;1793;4000;5940;7479;8529;8997;8882;8157;6906;5179;3118;845;-1486;-3714;-5698;-7300;-8417;-8971;-8930;-8291;-7100;-5439;-3408;-1161;1176;3423;5452;7108;8300;8929;8971;8412;7288;5689;3698
1470;-859;-3132;-5197;-6909;-8172;-8876;-9003;-8519;-7473;-5927;-3984;-1783;549;2831;4936;6704;8029;8818;9019;8620;7644;6160;4268;2086;-228;-2535;-4666;-6491;-7878;-8747;-9025;-8710;-7805;-6391;-4538;-2397;-81;2226;4397;6265;7722;8661;9024;8786;7961;6606;4812;2695;401
-1924;-4114;-6040;-7549;-8571;-9007;-8855;-8104;-6819;-5073;-2996;-715;1615;3830;5801;7373;8465;8983;8911;8237;7021;5332;3292;1026;-1299;-3548;-5552;-7188;-8351;-8947;-8955;-8363;-7213;-5584;-3582;-1341;989;3252;5304;6992;8225;8900;8991;8475;7401;5826;3870;1651;-675;-2957
-5043;-6792;-8087;-8845;-9013;-8579;-7576;-6064;-4153;-1958;358;2659;4777;6580;7943;8776;9026;8671;7743;6294;4429;2268;-46;-2355;-4507;-6360;-7787;-8699;-9025;-8756;-7898;-6518;-4699;-2574;-267;2047;4232;6132;7623;8608;9017;8827;8046;6732;4967;2872;585;-1741;-3951;-5896
-7451;-8506;-8998;-8887;-8185;-6937;-5228;-3166;-904;1436;3660;5659;7264;8398;8965;8937;8313;7135;5480;3463;1212;-1118;-3375;-5405;-7077;-8275;-8922;-8979;-8428;-7325;-5728;-3750;-1526;806;3079;5151;6875;8146;8868;9006;8537;7505;5967;4036;1834;-491;-2781;-4889;-6667;-8004
-8805;-9023;-8634;-7676;-6199;-4318;-2138;173;2481;4620;6449;7856;8729;9029;8721;7836;6426;4590;2445;142;-2178;-4344;-6228;-7692;-8645;-9025;-8796;-7989;-6642;-4859;-2749;-454;1867;4069;5992;7526;8547;9010;8860;8131;6852;5122;3045;771;-1560;-3782;-5755;-7346;-8441;-8982
-8916;-8262;-7054;-5378;-3341;-1083;1247;3495;5508;7157;8327;8942;8960;8385;7245;5629;3631;1395;-933;-3202;-5256;-6958;-8202;-8892;-8994;-8496;-7428;-5873;-3917;-1707;621;2904;4997;6755;8062;8836;9013;8599;7603;6108;4200;2014;-304;-2607;-4729;-6542;-7917;-8762;-9027;-8688
-7770;-6335;-4475;-2323;-6;2296;4464;6318;7760;8683;9025;8768;7927;6554;4748;2625;323;-1992;-4185;-6090;-7596;-8588;-9018;-8833;-8077;-6765;-5013;-2927;-636;1684;3902;5855;7418;8489;8992;8898;8206;6975;5269;3223;952;-1375;-3614;-5612;-7234;-8376;-8961;-8941;-8338;-7165
-5527;-3512;-1267;1064;3322;5362;7040;8255;8914;8983;8449;7356;5770;3802;1578;-750;-3028;-5104;-6842;-8119;-8861;-9008;-8555;-7534;-6011;-4083;-1890;437;2730;4838;6634;7975;8795;9023;8650;7705;6241;4362;2196;-122;-2424;-4575;-6409;-7829;-8715;-9028;-8736;-7863;-6464;-4638
-2498;-196;2121;4299;6187;7662;8631;9019;8811;8014;6680;4905;2800;511;-1815;-4016;-5955;-7491;-8533;-9002;-8874;-8153;-6890;-5165;-3100;-822;1501;3736;5710;7314;8423;8974;8925;8286;7085;5426;3388;1142;-1195;-3443;-5464;-7125;-8303;-8935;-8967;-8404;-7279;-5671;-3682;-1449
877;3153;5208;6926;8177;8883;8998;8515;7459;5915;3967;1760;-563;-2855;-4949;-6718;-8039;-8820;-9020;-8612;-7635;-6147;-4249;-2068;249;2553;4683;6503;7891;8749;9026;8704;7796;6377;4522;2375;64;-2247;-4413;-6278;-7735;-8664;-9027;-8779;-7954;-6591;-4797;-2674;-382;1943
4131;6054;7561;8576;9009;8850;8096;6806;5058;2976;695;-1633;-3849;-5816;-7383;-8474;-8984;-8908;-8229;-7008;-5316;-3274;-1008;1321;3564;5568;7202;8354;8953;8951;8356;7203;5566;3567;1318;-1006;-3273;-5317;-7006;-8232;-8904;-8990;-8467;-7390;-5811;-3852;-1633;695;2976;5059
6803;8098;8847;9013;8573;7564;6052;4132;1942;-380;-2676;-4795;-6592;-7954;-8779;-9026;-8666;-7732;-6280;-4413;-2247;63;2375;4523;6376;7796;8704;9026;8750;7889;6505;4682;2554;250;-2069;-4247;-6148;-7633;-8614;-9017;-8824;-8036;-6720;-4950;-2853;-566;1760;3968;5912;7460
8515;8997;8886;8174;6928;5207;3155;876;-1447;-3684;-5669;-7280;-8402;-8971;-8931;-8308;-7121;-5465;-3446;-1191;1136;3394;5421;7088;8284;8925;8976;8422;7314;5712;3733;1505;-825;-3098;-5164;-6891;-8151;-8875;-9002;-8531;-7493;-5954;-4017;-1816;511;2801;4902;6684;8010;8811
9020;8631;7662;6190;4295;2123;-194;-2500;-4635;-6466;-7861;-8738;-9026;-8718;-7825;-6413;-4571;-2430;-118;2193;4365;6240;7703;8651;9023;8795;7977;6631;4842;2727;440;-1893;-4079;-6014;-7531;-8557;-9008;-8860;-8119;-6843;-5103;-3029;-749;1577;3802;5769;7356;8451;8982;8913
8256;7038;5366;3319;1068;-1270;-3510;-5527;-7167;-8334;-8945;-8957;-8379;-7232;-5615;-3612;-1378;955;3220;5272;6971;8210;8894;8995;8486;7420;5855;3902;1685;-638;-2925;-5013;-6765;-8075;-8834;-9018;-8588;-7597;-6088;-4185;-1995;324;2623;4749;6554;7926;8768;9025;8684;7759
6320;4461;2300;-7;-2322;-4476;-6335;-7769;-8688;-9026;-8765;-7915;-6543;-4730;-2606;-305;2014;4200;6107;7603;8597;9016;8832;8066;6752;4998;2906;619;-1704;-3919;-5871;-7428;-8496;-8995;-8892;-8201;-6959;-5257;-3203;-932;1391;3636;5625;7245;8388;8957;8944;8327;7155;5512
3493;1248;-1082;-3342;-5376;-7054;-8263;-8916;-8981;-8442;-7345;-5755;-3785;-1557;768;3047;5120;6853;8129;8863;9006;8552;7521;5997;4065;1870;-455;-2748;-4857;-6644;-7988;-8796;-9025;-8644;-7693;-6227;-4347;-2175;139;2446;4590;6424;7837;8720;9029;8731;7852;6454;4617;2482
176;-2142;-4313;-6203;-7673;-8636;-9021;-8805;-8006;-6666;-4890;-2780;-491;1832;4037;5966;7505;8538;9002;8874;8140;6882;5144;3085;801;-1520;-3752;-5728;-7324;-8430;-8976;-8923;-8276;-7077;-5404;-3377;-1116;1209;3463;5482;7132;8315;8936;8965;8399;7264;5659;3662;1433;-901
-3167;-5229;-6934;-8188;-8885;-8997;-8508;-7450;-5898;-3950;-1742;586;2869;4970;6727;8051;8822;9021;8605;7626;6130;4233;2050;-271;-2568;-4704;-6513;-7903;-8751;-9030;-8695;-7790;-6358;-4509;-2354;-48;2270;4425;6298;7741;8671;9028;8772;7947;6576;4782;2654;364;-1963;-4149
-6066;-7575;-8579;-9012;-8846;-8086;-6794;-5041;-2958;-677;1655;3864;5833;7393;8481;8986;8904;8223;6994;5302;3254;988;-1339;-3582;-5583;-7214;-8362;-8954;-8950;-8348;-7190;-5553;-3546;-1302;1027;3290;5334;7016;8243;8906;8986;8464;7375;5798;3836;1610;-712;-2995;-5075;-6817
