c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28;c29;c30;c31;c32;c33;c34;c35;c36;c37;c38;c39;c40;c41;c42;c43;c44;c45;c46;c47;c48;c49
6576;7814;8643;9009;8899;8323;7297;5894;4174;2230;176;-1895;-3863;-5621;-7094;-8177;-8838;-9024;-8734;-7985;-6807;-5275;-3457;-1460;616;2655;4562;6218;7553;8480;8965;8969;8505;7583;6267;4610;2719;676;-1398;-3401;-5221;-6770;-7951;-8723;-9019;-8854;-8201;-7132;-5671;-3920
-1954;112;2173;4117;5846;7261;8299;8889;9014;8659;7845;6619;5038;3193;1179;-902;-2926;-4806;-6423;-7702;-8578;-8991;-8937;-8400;-7429;-6054;-4367;-2443;-391;1679;3663;5454;6951;8087;8788;9027;8788;8084;6947;5452;3656;1677;-397;-2449;-4369;-6060;-7429;-8405;-8935;-8993
-8574;-7701;-6420;-4799;-2925;-894;1183;3196;5046;6616;7854;8655;9018;8887;8296;7260;5841;4114;2167;108;-1962;-3920;-5679;-7129;-8210;-8848;-9025;-8715;-7955;-6761;-5220;-3395;-1395;681;2723;4616;6271;7584;8507;8971;8963;8482;7547;6217;4554;2655;608;-1463;-3464;-5276
-6812;-7984;-8739;-9023;-8835;-8179;-7085;-5624;-3855;-1892;182;2234;4181;5893;7305;8321;8903;9009;8639;7814;6570;4985;3128;1113;-968;-2989;-4863;-6468;-7741;-8594;-9001;-8923;-8380;-7387;-6007;-4307;-2378;-325;1744;3728;5501;7001;8110;8806;9027;8771;8054;6906;5397;3595
1612;-466;-2511;-4428;-6110;-7466;-8429;-8946;-8985;-8554;-7665;-6373;-4742;-2860;-830;1252;3257;5102;6663;7883;8679;9016;8879;8266;7221;5791;4053;2104;38;-2025;-3981;-5732;-7169;-8238;-8862;-9021;-8701;-7919;-6720;-5162;-3336;-1327;748;2786;4674;6318;7621;8529;8977;8956
8457;7512;6166;4499;2587;545;-1533;-3523;-5333;-6855;-8015;-8755;-9024;-8824;-8147;-7046;-5568;-3797;-1823;245;2302;4238;5944;7345;8346;8914;9004;8621;7777;6527;4925;3070;1042;-1030;-3058;-4915;-6517;-7774;-8615;-9004;-8916;-8351;-7352;-5954;-4249;-2314;-257;1811;3785;5561
7034;8148;8816;9027;8757;8021;6864;5340;3537;1542;-530;-2578;-4485;-6160;-7502;-8457;-8949;-8984;-8527;-7634;-6322;-4687;-2797;-759;1313;3325;5152;6712;7914;8697;9020;8865;8241;7179;5740;3993;2036;-26;-2092;-4041;-5781;-7212;-8264;-8875;-9017;-8684;-7884;-6678;-5107;-3272
-1262;817;2849;4731;6364;7660;8547;8988;8944;8435;7473;6118;4440;2523;478;-1599;-3584;-5387;-6898;-8047;-8770;-9026;-8808;-8119;-7005;-5513;-3738;-1756;311;2369;4294;5997;7382;8370;8928;8995;8604;7742;6480;4871;3003;979;-1099;-3119;-4972;-6564;-7807;-8635;-9010;-8901
-8330;-7308;-5907;-4188;-2247;-194;1880;3844;5613;7080;8171;8834;9024;8741;7991;6820;5285;3476;1475;-596;-2642;-4545;-6206;-7544;-8473;-8964;-8972;-8509;-7595;-6276;-4630;-2729;-700;1389;3377;5215;6750;7952;8708;9030;8845;8219;7135;5689;3932;1974;-99;-2149;-4110;-5825
-7259;-8286;-8888;-9017;-8657;-7866;-6612;-5077;-3176;-1243;958;2775;6721;12253;15880;17578;16786;13966;9529;4444;-466;-4315;-6597;-7094;-6012;-3886;-1424;577;1526;1032;-850;-3808;-7122;-10069;-11819;-11863;-9928;-6200;-1191;4278;9292;12978;14721;14242;11702;7619;2802;-1831;-5440;-7417
